study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
laptop,0,0,0,1,1.6480467,,,,,,,,,,,,0,0,0,5,,,,,0.0285211,,0.0166734,0.0285211,0.0285211,1.6805485,1,1.6480467,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
police,1,1,0,1,0.7788739,,,,,,,,,,,,0,1,1,12,,,,,1.6964242,,1.6855643,1.6964242,1.6964242,2.4805777,1,0.7788739,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
cruise,2,2,0,1,0.763542,,,,,,,,,,,,0,2,2,11,,,,,2.4964438,,2.4853093,2.4964438,2.4964438,3.2638064,1,0.763542,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
chart,3,3,0,1,0.7300012,,,,,,,,,,,,0,3,3,6,,,,,3.2796992,,3.2681235,3.2796992,3.2796992,4.0136001,1,0.7300012,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
pastry,4,4,0,1,0.6733238,,,,,,,,,,,,0,4,4,9,,,,,4.0826967,,4.0731358,4.0826967,4.0826967,4.7627702,1,0.6733238,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
case,5,5,0,1,0.7972964,,,,,,,,,,,,0,5,5,10,,,,,4.7784916,,4.7658575,4.7784916,4.7784916,5.5789899,1,0.7972964,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
marble,6,6,0,1,0.798278,,,,,,,,,,,,0,6,6,3,,,,,5.5949902,,5.5823088,5.5949902,5.5949902,6.3956249,1,0.798278,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
phone,7,7,0,1,0.7792705,,,,,,,,,,,,0,7,7,2,,,,,6.4116469,,6.4002105,6.4116469,6.4116469,7.1957403,1,0.7792705,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
mouse,8,8,0,1,0.7807817,,,,,,,,,,,,0,8,8,8,,,,,7.2116514,,7.198807,7.2116514,7.2116514,7.995583,1,0.7807817,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
poster,9,9,0,1,0.7810554,,,,,,,,,,,,0,9,9,14,,,,,8.0117237,,7.9990006,8.0117237,8.0117237,8.7958318,1,0.7810554,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
cushion,10,10,0,1,0.7313667,,,,,,,,,,,,0,10,10,1,,,,,8.8116477,,8.7993617,8.8116477,8.8116477,9.54554,1,0.7313667,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
tshirt,11,11,0,1,0.7968756,,,,,,,,,,,,0,11,11,7,,,,,9.5613911,,9.5491258,9.5613911,9.5613911,10.3620169,1,0.7968756,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
board,12,12,0,1,0.8296327,,,,,,,,,,,,0,12,12,4,,,,,10.377772,,10.366759,10.377772,10.377772,11.2121431,1,0.8296327,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
book,13,13,0,1,0.9637722,,,,,,,,,,,,0,13,13,0,,,,,11.2278627,,11.2153595,11.2278627,11.2278627,12.1951323,1,0.9637722,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
keys,14,14,0,1,0.8134037,,,,,,,,,,,,0,14,14,13,,,,,12.2111289,,12.1987721,12.2111289,12.2111289,13.0285248,1,0.8134037,,,,,,,,,,,,,,,,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
,0,0,0,,,ta_l_,table,new,table,[np.float64(0.13055555555555556)],[np.float64(-0.2898148148148148)],[1],[0],[0],[6.318939599907026],['submit_text'],,,,,0,0,0,15,13.0604847,,,,,,,,13.04414,13.0604847,13.0604847,13.0604847,0.015618,19.3635853,table,[np.float64(0.13055555555555556)],[np.float64(-0.2898148148148148)],[1],[0],[0],[6.318939599907026],['submit_text'],,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
,1,1,0,,,c_m_ra,camera,new,camera,[np.float64(0.075)],[np.float64(-0.29259259259259257)],[1],[0],[0],[3.9723265001084656],['submit_text'],,,,,0,1,1,19,19.3929287,,,,,,,,19.3736245,19.3929287,19.3929287,19.3929287,0.0096104,23.3467309,camera,[np.float64(0.075)],[np.float64(-0.29259259259259257)],[1],[0],[0],[3.9723265001084656],['submit_text'],,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
,2,2,0,,,l_pt_p,laptop,old,laptop,[np.float64(0.06851851851851852)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.1677610999904573],['submit_text'],,,,,0,2,2,0,23.377522,,,,,,,,23.3596541,23.377522,23.377522,23.377522,0.0126589,26.5279957,laptop,[np.float64(0.06851851851851852)],[np.float64(-0.30462962962962964)],[1],[0],[0],[3.1677610999904573],['submit_text'],,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
,3,3,0,,,_ha_t,chart,old,shaft,[np.float64(0.1)],[np.float64(-0.30833333333333335)],[1],[0],[0],[5.413053099997342],['submit_text'],,,,,0,3,3,1,26.5439956,,,,,,,,26.5309199,26.5439956,26.5439956,26.5439956,0.0027893,31.9442735,shaft,[np.float64(0.1)],[np.float64(-0.30833333333333335)],[1],[0],[0],[5.413053099997342],['submit_text'],,3,1,2025-10-14_09h47.18.822,word priming,,2025.1.1,60.03788393,2025-10-14 09h47.27.009622 +0530
