study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
tshirt,0,0,0,1,1.788346,,,,,,,,,,,,0,0,0,7,,,,,0.0366699,,0.0210598,0.0366699,0.0366699,1.8242254,1,1.788346,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
case,1,1,0,1,0.8287201,,,,,,,,,,,,0,1,1,10,,,,,1.8399402,,1.8294049,1.8399402,1.8399402,2.6742818,1,0.8287201,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
laptop,2,2,0,1,0.8290326,,,,,,,,,,,,0,2,2,5,,,,,2.6898258,,2.6791765,2.6898258,2.6898258,3.5240884,1,0.8290326,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
board,3,3,0,1,0.8297439,,,,,,,,,,,,0,3,3,4,,,,,3.5400471,,3.528352,3.5400471,3.5400471,4.3739878,1,0.8297439,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
marble,4,4,0,1,0.8304617,,,,,,,,,,,,0,4,4,3,,,,,4.3901879,,4.3772597,4.3901879,4.3901879,5.2237713,1,0.8304617,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
poster,5,5,0,1,0.7638956,,,,,,,,,,,,0,5,5,14,,,,,5.2397895,,5.2272375,5.2397895,5.2397895,6.0071421,1,0.7638956,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
pastry,6,6,0,1,0.7960569,,,,,,,,,,,,0,6,6,9,,,,,6.0230037,,6.0116987,6.0230037,6.0230037,6.8235823,1,0.7960569,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
police,7,7,0,1,0.7978785,,,,,,,,,,,,0,7,7,12,,,,,6.8394255,,6.8264512,6.8394255,6.8394255,7.6401874,1,0.7978785,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
chart,8,8,0,1,0.7989346,,,,,,,,,,,,0,8,8,6,,,,,7.6562691,,7.6430781,7.6562691,7.6562691,8.4570458,1,0.7989346,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
mouse,9,9,0,1,0.7634863,,,,,,,,,,,,0,9,9,8,,,,,8.4728346,,8.4605294,8.4728346,8.4728346,9.2404105,1,0.7634863,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
keys,10,10,0,1,0.7804942,,,,,,,,,,,,0,10,10,13,,,,,9.2562097,,9.2435794,9.2562097,9.2562097,10.0401379,1,0.7804942,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
cruise,11,11,0,1,0.7310665,,,,,,,,,,,,0,11,11,11,,,,,10.0559955,,10.0441646,10.0559955,10.0559955,10.789964,1,0.7310665,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
cushion,12,12,0,1,0.7789639,,,,,,,,,,,,0,12,12,1,,,,,10.8058667,,10.7950473,10.8058667,10.8058667,11.5899881,1,0.7789639,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
phone,13,13,0,1,0.7477506,,,,,,,,,,,,0,13,13,2,,,,,11.6055925,,11.5928396,11.6055925,11.6055925,12.356259,1,0.7477506,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
book,14,14,0,1,0.7978545,,,,,,,,,,,,0,14,14,0,,,,,12.3721423,,12.3596909,12.3721423,12.3721423,13.1730471,1,0.7978545,,,,,,,,,,,,,,,,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
,0,0,0,,,_a_bl_,marble,old,marble,"[np.float64(-0.4), np.float64(0.0824074074074074)]","[np.float64(-0.2777777777777778), np.float64(-0.28425925925925927)]","[1, 1]","[0, 0]","[0, 0]","[0.8340390999801457, 5.787307299906388]","[None, 'submit_text']",,,,,0,0,0,11,13.1988671,,,,,,,,13.1886664,13.1988671,13.1988671,13.1988671,0.0156223,18.9764868,marble,"[np.float64(-0.4), np.float64(0.0824074074074074)]","[np.float64(-0.2777777777777778), np.float64(-0.28425925925925927)]","[1, 1]","[0, 0]","[0, 0]","[0.8340390999801457, 5.787307299906388]","[None, 'submit_text']",,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
,1,1,0,,,c_s_io_,cushion,old,cushion,"[np.float64(0.014814814814814815), np.float64(0.05555555555555555), np.float64(0.075)]","[np.float64(-0.2537037037037037), np.float64(-0.3398148148148148), np.float64(-0.2851851851851852)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.006643199827522, 5.018595699919388, 6.120870799990371]","[None, None, 'submit_text']",,,,,0,1,1,14,19.0002633,,,,,,,,18.9872605,19.0002633,19.0002633,19.0002633,0.0100104,25.1088761,cushion,"[np.float64(0.014814814814814815), np.float64(0.05555555555555555), np.float64(0.075)]","[np.float64(-0.2537037037037037), np.float64(-0.3398148148148148), np.float64(-0.2851851851851852)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.006643199827522, 5.018595699919388, 6.120870799990371]","[None, None, 'submit_text']",,2,1,2025-10-14_09h44.32.519,word priming,,2025.1.1,59.98508766,2025-10-14 09h44.42.280697 +0530
